Master ID,Source Stage,Original ID,Object Type,Title,Start Year,End Year,Date Text,Brand / Promoter,Primary Subject,Geography,BMXMuseum Status,Exact Reference ID,Source Role,Evidence / Limitation,Confidence,Rights Code,Research Status,Primary Source URL,Secondary Source URL,Normalized Duplicate Key,Duplicate Group,Canonical Action,Notes,Accessed
EPH-0041,v0.8,MB-OBJ-0006,Manufacturer catalog,1979/80 Bicycle and Components Catalog,1979,1979,1979/80,Mongoose,"Bicycle lineup, accessory range and component relationships including Ashtabula cranks.",Unresolved / varies,Independent corroborating catalog; exact BMXMuseum object not established,,Period catalog PDF,Catalog date is printed on cover; page-specific claims remain tied to inspected pages.,HIGH,INDEX-ONLY,INCLUDED — page inspected,https://www.vintagemongoose.com/pdfs/mongoose_cat79-80.pdf,https://www.vintagemongoose.com/info/catalogs.php,mongoose|1979 80 bicycle and components catalog|1979,,RETAIN — unique source record,Do not treat hosted scan as public-domain.,2026-07-30
EPH-0042,v0.8,MB-OBJ-0007,Distributor price list,1985 Repco price list — Mongoose and parts,1985,1985,1985,Mongoose,Australian distributor pricing and cross-brand distribution context.,Unresolved / varies,No exact BMXMuseum object established,,Australian collector/research archive,Public summary exposes selected prices; currency is likely AUD from Australian context but should be verified from the scan.,MEDIUM,INDEX-ONLY,INCLUDED WITH CURRENCY CAUTION,https://www.bloggingadeadhorse.com/hotfoot2.php,https://www.vintagemongoose.com/,mongoose|1985 repco price list mongoose and parts|1985,,RETAIN — unique source record,Do not transcribe unseen rows.,2026-07-30
EPH-0043,v0.8,MB-OBJ-0008,Product-history object,PK Ripper late-1970s debut,1970,1970,Late 1970s,SE Racing,Early high-end aluminum BMX frame chronology and PK Ripper continuity.,Unresolved / varies,No exact BMXMuseum catalog/ad object recovered,,Current official brand history,"Current marketing history supports a broad debut claim, not an exact first advertisement or catalog page.",MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://www.sebikes.com/blogs/news/elite-race-series,https://www.sebikes.com/pages/perry-kramer,se racing|pk ripper late 1970s debut|1970,,RETAIN — unique source record,Exact debut date and first-page object remain open.,2026-07-30
EPH-0044,v0.8,MB-OBJ-0009,Rider/model naming history,Perry Kramer initials on PK Ripper,1979,1979,Since early 1979,SE Racing,Rider-to-model naming relationship and approximate start period.,Unresolved / varies,No exact BMXMuseum object recovered,,First-person official rider page,First-person statement supports the relationship; catalog/advertisement evidence remains separate.,HIGH for relationship,INDEX-ONLY,INCLUDED — relationship evidence,https://www.sebikes.com/pages/perry-kramer,https://www.sebikes.com/blogs/news/classic-1,se racing|perry kramer initials on pk ripper|1979,,RETAIN — unique source record,Do not convert approximate timing into exact launch date.,2026-07-30
EPH-0045,v0.8,MB-OBJ-0010,Team/product advertisement,Silver Streak team advertisement and product naming,1982,1982,1982,Diamond Back,"1981 ABA factory-team award, Silver Streak naming relationship and period promotional language.",Unresolved / varies,No exact BMXMuseum reference recovered,,Period publication,Repeated issues support campaign continuity; exact original US placement and complete copy are not reproduced.,HIGH for period object,INDEX-ONLY,INCLUDED — campaign object,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,diamond back|silver streak team advertisement and product naming|1982,,RETAIN — unique source record,Historical styling retained as Diamond Back.,2026-07-30
EPH-0046,v0.8,MB-OBJ-0011,Information-pack mailer,Free Diamond Back and Pro Star info pack and decal,1982,1982,1982,Diamond Back,Direct-to-factory information-pack offer and decal promotion.,Unresolved / varies,No exact BMXMuseum reference recovered,,Period publication,The offer is visible in multiple issues; contents of the pack are not recovered in this pass.,HIGH for offer,INDEX-ONLY,INCLUDED — mailer/flyer lead,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,diamond back|free diamond back and pro star info pack and decal|1982,DUP-DB-INFO-PACK,MERGE identity; preserve source occurrence,Do not count the unseen pack as multiple documents.,2026-07-30
EPH-0047,v0.8,MB-OBJ-0012,Magazine advertisement,First Torker advertisement in BMX Weekly,1976,1976,December 1976,Torker,Brand-launch chronology and earliest reported public advertisement.,Unresolved / varies,BMXMuseum production-record ecosystem; exact ad page unresolved,,Current official historical archive,Official Torker history supplies the date; period issue/page and exact image remain to be recovered.,MEDIUM-HIGH,INDEX-ONLY,OPEN — period issue/page,https://torkerracing.com/pages/the-fullerton-era-torker-bmx-history,https://torkerracing.com/pages/torker-bmx-models,torker|first torker advertisement in bmx weekly|1976,DUP-TORKER-FIRST-AD,MERGE identity; preserve source occurrence,Existing master record retained and strengthened.,2026-07-30
EPH-0048,v0.8,MB-OBJ-0013,Model archive,Fullerton-era Torker model archive,1976,1984,1976–1984,Torker,"Chronological model sequence, serial families, factory colors and rider associations.",Unresolved / varies,Explicitly cites BMXMuseum production research,,Current official historical archive,Modern official synthesis draws from BMXMuseum and period magazines; each underlying claim should retain source attribution.,HIGH for archive role,INDEX-ONLY,INCLUDED — discovery and verification hub,https://torkerracing.com/pages/torker-bmx-models,https://torkerracing.com/pages/the-fullerton-era-torker-bmx-history,torker|fullerton era torker model archive|1976,,RETAIN — unique source record,"Useful for cross-linking, not a substitute for period scans.",2026-07-30
EPH-0049,v0.8,MB-OBJ-0014,Factory-team history,1979 National Number One team / 1980 world-pro chronology,1979,1980,1979–1980,Torker,Team and rider chronology relevant to advertisements and team flyers.,Unresolved / varies,BMXMuseum production and team-history ecosystem,,Current official historical archive,Modern historical synthesis should be cross-checked against period result and team-ad objects.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://torkerracing.com/blogs/news/torker-bmx-number-one-team-in-america,https://torkerracing.com/pages/torker-bmx-hall-of-fame,torker|1979 national number one team 1980 world pro chronology|1979,,RETAIN — unique source record,Relationship leads for future team-flyer sweep.,2026-07-30
EPH-0050,v0.9,SEQ-FLY-0001,Event flyer / trade-exhibition notice,Pontin's BMX Open Championships & Trade Exhibition,1983,1983,1983-10-07 to 1983-10-09,Pontin's; UK BMX organizers,"Open championships, trade exhibition and BMX holiday weekend","Morecambe, England, United Kingdom",No exact BMXMuseum object recovered,,Period magazine advertisement / booking form,People: Mike Pardon; Andy Preston (freestyle demos referenced in surrounding promotion); Venue: Pontin's Middleton Tower Holiday Centre; Offer: Booking and trade forms offered; race weekend over three dates,HIGH,INDEX-ONLY,INCLUDED — exact dates/venue,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/64-september-nineteen-eighty-three,,pontin s uk bmx organizers|pontin s bmx open championships trade exhibition|1983,,RETAIN — unique source record,Image: Do not copy page image. Text: Paraphrase event facts and form function. September and October issues support the campaign; preserve issue-specific occurrences.,2026-07-30
EPH-0051,v0.9,SEQ-FLY-0002,Event registration coupon,Lee Cooper BMX Indoor Grand Prix pre-registration,1982,1982,Winter 1982–83; exact event dates open,Lee Cooper,Indoor BMX racing and stunt event; Diamond Back Teamfinder first-round context,"Edmonton, London, United Kingdom",No exact BMXMuseum object recovered,,Period magazine coupon,People: Rider roster not fully extracted; Venue: Pickett's Lock Centre; Offer: Coupon requested latest information and pre-registration forms,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — exact dates pending,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/58-december%2Fjanuary-eighty-two,,lee cooper|lee cooper bmx indoor grand prix pre registration|1982,,RETAIN — unique source record,Image: Do not copy coupon image. Text: Paraphrase form and event function. Do not infer event dates from issue month.,2026-07-30
EPH-0052,v0.9,SEQ-FLY-0003,Event entry / pre-registration advertisement,AFA Expert & Pro Contest — Austin,1987,1987,1987-05-02 to 1987-05-03,AFA,"Expert/pro freestyle contest; $2,000 purse","Austin, Texas, United States",No exact BMXMuseum object recovered,,Period event advertisement,People: Dennis McCoy; Robert Peterson; Rick Allison; other pros; Venue: Austin City Coliseum; Offer: Pre-registration only; expert and pro classes,HIGH,INDEX-ONLY,INCLUDED,https://previouspage.co.uk/magazines/BMX%20Plus/issues/244-july-nineteen-eighty-seven,,afa|afa expert pro contest austin|1987,,RETAIN — unique source record,"Image: Do not copy advertisement. Text: Paraphrase event facts, classes and dates. The event was advertised in multiple issues; preserve first-seen and repeated placements separately if later itemized.",2026-07-30
EPH-0053,v0.9,SEQ-FLY-0004,Contest entry form,BMX Plus! / GT Hide-A-Contest,1987,1987,Deadline 1987-09-28; drawing 1987-10-05,GT; BMX Plus!,Reader contest and GT promotion,United States,No exact BMXMuseum object recovered,,Period contest entry form,People: Not applicable; Venue: Mail-in entry; Offer: No purchase necessary; mail-in form with published deadline and drawing date,HIGH for dates,INDEX-ONLY,INCLUDED — prize details open,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,,gt bmx plus|bmx plus gt hide a contest|1987,DUP-GT-HIDE-CONTEST,MERGE identity; preserve source occurrence,"Image: Do not copy form image. Text: Paraphrase dates and contest structure. Promotional entry form, not a race flyer.",2026-07-30
EPH-0054,v0.9,SEQ-FLY-0005,Information-pack mailer,Diamond Back and Pro Star Info Pack & Decal,1982,1982,1982 campaign,Diamond Back; Pro Star,Product information pack and decal,United States origin; advertised in United Kingdom publication,No exact BMXMuseum object recovered,,Period product mailer advertisement,People: Diamond Back factory team / Harry Leary context in campaign copy; Venue: Direct-to-factory mail request; Offer: Free info pack and decal offered,HIGH for offer,INDEX-ONLY,INCLUDED — contents unresolved,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,,diamond back pro star|diamond back and pro star info pack decal|1982,DUP-DB-INFO-PACK,MERGE identity; preserve source occurrence,Image: Do not copy advertisement. Text: Paraphrase offer; unseen pack not inventoried. Repeated placements do not prove multiple pack editions.,2026-07-30
EPH-0055,v0.9,SEQ-FLY-0006,Catalog mailer,1991 Haro/Fusion catalog request,1991,1991,Advertisement in Nov 1991,Haro; Fusion; West Coast Cycle,1991 product catalog,"Carlsbad, California, United States",Haro 1990 BMXMuseum reference ID remains unresolved; mailer is independent,,Period catalog mailer,People: Not applicable; Venue: Mail request; Offer: Send $2 for a 1991 catalog,HIGH,INDEX-ONLY,INCLUDED,https://www.previouspage.co.uk/issues/131-november-nineteen-ninety-one,,haro fusion west coast cycle|1991 haro fusion catalog request|1991,DUP-HARO-1991-MAILER,MERGE identity; preserve source occurrence,Image: Do not copy ad image. Text: Paraphrase offer and distributor context. Catalog-request fee stored separately from product prices.,2026-07-30
EPH-0056,v0.9,SEQ-FLY-0007,Dealer price-list / sticker offer,Send SAE for price list and free sticker,1982,1982,September 1982,Retailer/dealer unresolved from indexed alignment,BMX products and dealer price list,United Kingdom,No exact BMXMuseum object recovered,,Period retailer advertisement,People: Not applicable; Venue: Mail-order dealer advertisement; Offer: Self-addressed envelope for price list and free sticker,MEDIUM,INDEX-ONLY,INCLUDED WITH LIMITS,https://previouspage.co.uk/magazines/BMX%20Weekly/issues/213-september-nineteen-eighty-two,,retailer dealer unresolved from indexed alignment|send sae for price list and free sticker|1982,,RETAIN — unique source record,Image: Do not copy advertisement. Text: Paraphrase offer; dealer identity pending page inspection. OCR alignment requires visual verification before dealer attribution.,2026-07-30
EPH-0057,v0.9,SEQ-FLY-0008,Event notice / contact flyer,"Ramp Jam — Moorhead, Minnesota",1987,1987,1987-05-02,Local organizer; Rob Staiger contact,Ramp Jam,"Moorhead, Minnesota, United States",No exact BMXMuseum object recovered,,Period magazine event notice,People: Ramp riders; Venue: Venue not exposed in indexed text; Offer: Contact Rob Staiger for information,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — venue open,https://previouspage.co.uk/magazines/BMX%20Plus/issues/243-may-nineteen-eighty-seven,,local organizer rob staiger contact|ramp jam moorhead minnesota|1987,,RETAIN — unique source record,Image: Do not copy notice. Text: Paraphrase date/location/contact role; do not republish address. Personal street address from period notice is intentionally not stored.,2026-07-30
EPH-0058,v0.9,SEQ-FLY-0009,Tour promotion / route notice,DYNO Tour promotional stop listing,1987,1987,1987,Dyno,Freestyle tour / dealer-stop promotion,United States,GT/Dyno catalog IDs unresolved; tour object independent,,Period magazine promotional notice,People: Tour riders not fully extracted; Venue: Multiple stops; exact venues not itemized; Offer: Publicity listing of stops and route context,MEDIUM,INDEX-ONLY,INCLUDED — stops pending,https://previouspage.co.uk/magazines/BMX%20Plus/issues/244-july-nineteen-eighty-seven,,dyno|dyno tour promotional stop listing|1987,,RETAIN — unique source record,Image: Do not copy page image. Text: Paraphrase tour existence; itemize stops only after page inspection. Do not create named venue records from city-only OCR.,2026-07-30
EPH-0059,v0.9,SEQ-FLY-0010,Event prize promotion,Diamond Back Silver Streak free draw at Lee Cooper event,1982,1982,Winter 1982–83,Lee Cooper; Diamond Back,Two Silver Streak bicycles offered in free daily draws,"Edmonton, London, United Kingdom",No exact BMXMuseum object recovered,,Period event promotion,People: Event attendees; Venue: Lee Cooper BMX Indoor Grand Prix context; Offer: Free draw each day for riders attending,MEDIUM-HIGH,INDEX-ONLY,INCLUDED,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/58-december%2Fjanuary-eighty-two,,lee cooper diamond back|diamond back silver streak free draw at lee cooper event|1982,,RETAIN — unique source record,Image: Do not copy promotion. Text: Paraphrase prize relationship and event context. Separate from the pre-registration coupon because it verifies a distinct brand-event relationship.,2026-07-30
EPH-0060,v0.9,SEQ-FLY-0011,Dealer advertisement / price-list lead,Langsett Cycles BMX product advertisement,1983,1983,December 1983 issue,Langsett Cycles,"Complete bikes, frames/forks, wheels and components","Sheffield, England, United Kingdom",No exact BMXMuseum object recovered,,Period dealer advertisement,People: Not applicable; Venue: Langsett Cycles; Offer: Retail prices and carriage terms; broad product inventory,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — deeper transcription deferred,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/87-december%20%2F%20january-eighty-three,,langsett cycles|langsett cycles bmx product advertisement|1983,,RETAIN — unique source record,Image: Do not copy advertisement. Text: Extract only clearly aligned line items. Dealer advertisement is not a manufacturer price sheet.,2026-07-30
EPH-0061,v0.9,SEQ-FLY-0012,Dealer/shop advertisement,SR Cycles product and team promotion,1983,1983,October 1983,SR Cycles; SR Jets,Dealer inventory and team-linked purchase promotion,Bristol / United Kingdom,No exact BMXMuseum object recovered,,Period dealer advertisement,People: SR Jets; Venue: SR Cycles; Offer: Free SR Jets race shirt with each bike bought through end of October; money-order hold offer,MEDIUM-HIGH,INDEX-ONLY,INCLUDED,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/85-october-nineteen-eighty-three,,sr cycles sr jets|sr cycles product and team promotion|1983,,RETAIN — unique source record,"Image: Do not copy advertisement. Text: Paraphrase offer and brand list. Connects dealer, team identity, brands and timed promotion.",2026-07-30
