Master ID,Source Stage,Original ID,Object Type,Title,Start Year,End Year,Date Text,Brand / Promoter,Primary Subject,Geography,BMXMuseum Status,Exact Reference ID,Source Role,Evidence / Limitation,Confidence,Rights Code,Research Status,Primary Source URL,Secondary Source URL,Normalized Duplicate Key,Duplicate Group,Canonical Action,Notes,Accessed,Category ID,Primary Category
EPH-0129,v1.1 chronological census,V11-ABMX-0068,Product announcement / kit,Lee and SunTour sealed bottom-bracket product note,1982,1982,August/September 1982,Lee; SunTour,New-product note comparing sealed bottom brackets for one-piece and three-piece cranks.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — August/September 1982 — Volume 2 Number 3. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,,lee and suntour sealed bottom bracket product note august september 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 45. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-008,Product announcements and technical material
EPH-0130,v1.1 chronological census,V11-ABMX-0069,Product literature,Araya aerodynamic sew-up race-wheel note,1982,1982,August/September 1982,Araya,Product note for fragile race-only sew-up tyres and aerodynamic wheel equipment.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — August/September 1982 — Volume 2 Number 3. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,,araya aerodynamic sew up race wheel note august september 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 45. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-001,Catalogs and product literature
EPH-0131,v1.1 chronological census,V11-ABMX-0070,Product-history object,Profile mini BMX build feature,1982,1982,August/September 1982,Profile; Hotshot BMX,Feature on a lightweight Profile-based mini machine for a younger racer.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — August/September 1982 — Volume 2 Number 3. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,,profile mini bmx build feature august september 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 45. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-009,Editorial tests and historical documentation
EPH-0132,v1.1 chronological census,V11-ABMX-0071,Product literature,Patterson chromoly frame-and-fork advertisement,1982,1982,August/September 1982,Patterson Racing Products,Advertisement listing Patterson Pro frame and fork options and BMX accessories.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — August/September 1982 — Volume 2 Number 3. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,,patterson chromoly frame and fork advertisement august september 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 51. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-001,Catalogs and product literature
EPH-0133,v1.1 chronological census,V11-ABMX-0072,Retailer advertisement / price list,KHS Duster four-model range and RRPs,1982,1982,August/September 1982,KHS; Action Bike Distributing,"Distributor advertisement listing Duster 100, 200, 300, and 506 models and recommended prices.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — August/September 1982 — Volume 2 Number 3. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,,khs duster four model range and rrps august september 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 51. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-002,Advertisements and price lists
EPH-0134,v1.1 chronological census,V11-ABMX-0073,Product literature,SJK Hurricane distributor announcement,1982,1982,August/September 1982,SJK Products; Action Bike Distributing,Distributor advertisement for the British-built SJK Hurricane and dealer territories.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — August/September 1982 — Volume 2 Number 3. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,,sjk hurricane distributor announcement august september 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 51. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-001,Catalogs and product literature
EPH-0135,v1.1 chronological census,V11-ABMX-0074,Dealer/shop advertisement,Summer chrome-plating service advertisement,1982,1982,August/September 1982,Dartford cycle retailer,Seasonal service advertisement offering chrome plating for BMX bicycles.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — August/September 1982 — Volume 2 Number 3. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,,summer chrome plating service advertisement august september 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 51. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-007,Dealers and distributors
EPH-0136,v1.1 chronological census,V11-ABMX-0075,Catalog mailer,Twenty-pence BMX catalogue mailer,1982,1982,August/September 1982,Dartford cycle retailer,Mail-order BMX catalogue offer requiring a 20-pence stamp.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — August/September 1982 — Volume 2 Number 3. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,,twenty pence bmx catalogue mailer august september 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 51. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0137,v1.1 chronological census,V11-ABMX-0076,Magazine advertisement,Puch Murray competition BMX range advertisement,1982,1982,October/November 1982,Puch Murray,Brand advertisement for 20-inch and 24-inch BMX models with component and warranty claims.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,puch murray competition bmx range advertisement october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 2. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-002,Advertisements and price lists
EPH-0138,v1.1 chronological census,V11-ABMX-0077,Magazine advertisement,Redline 400 Series durability advertisement,1982,1982,October/November 1982,Redline; Gecko,UK distributor advertisement promoting Redline 400 Series durability.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,redline 400 series durability advertisement october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 4. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-002,Advertisements and price lists
EPH-0139,v1.1 chronological census,V11-ABMX-0078,Retailer advertisement / price list,Hot Wheels BMX Centre Shimano price list,1982,1982,October/November 1982,Hot Wheels BMX Centre; Shimano,"Retail price listing for DX pedals, seatposts, levers, cranks, saddles, forks, and new imports.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging. Potential recurring-campaign relationship with EPH-0185 (Hot Wheels Centre retailer campaign); do not merge without page-image comparison.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,hot wheels bmx centre shimano price list october november 1982,,REVIEW — recurring campaign/feature candidate; retain separately pending page-image comparison,Indexed page 5. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-002,Advertisements and price lists
EPH-0140,v1.1 chronological census,V11-ABMX-0079,Product announcement / kit,Kuwahara E.T. Special product announcement,1982,1982,October/November 1982,Kuwahara; E.T.,News item announcing E.T.-themed Kuwahara bicycles for the UK market.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,kuwahara e t special product announcement october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 6. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-008,Product announcements and technical material
EPH-0141,v1.1 chronological census,V11-ABMX-0080,Archive collection,BMX track-openings and construction logbook,1982,1982,October/November 1982,BMX Action Bike,Track-status roundup listing openings and planned facilities across Britain.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,bmx track openings and construction logbook october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed pages 6–7. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-009,Editorial tests and historical documentation
EPH-0142,v1.1 chronological census,V11-ABMX-0081,Dealer/shop advertisement,"Shiner Panda, SE Racing, and KHS range advertisement",1982,1982,October/November 1982,Shiner; SE Racing; Panda; KHS,"Distributor advertisement covering frames, complete bikes, components, and dealership enquiries.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,shiner panda se racing and khs range advertisement october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 6. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-007,Dealers and distributors
EPH-0143,v1.1 chronological census,V11-ABMX-0082,Product literature,Adjustable car cycle-rack advertisement,1982,1982,October/November 1982,Retailer unresolved,Advertisement for an adjustable vehicle bicycle carrier with lashing straps.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,adjustable car cycle rack advertisement october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 7. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-001,Catalogs and product literature
EPH-0144,v1.1 chronological census,V11-ABMX-0083,Product announcement / kit,Skyway Tuff wheels with alloy hubs launch,1982,1982,October/November 1982,Skyway; Hotshot BMX,Product announcement for lightweight alloy-hub Tuff wheels in multiple colors.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,skyway tuff wheels with alloy hubs launch october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 8. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-008,Product announcements and technical material
EPH-0145,v1.1 chronological census,V11-ABMX-0084,Information-pack mailer,Skyway information and Andy Patterson poster mailer,1982,1982,October/November 1982,Skyway; Hotshot BMX; Andy Patterson,Free information and poster offer requiring a stamped addressed envelope.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,skyway information and andy patterson poster mailer october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 8. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0146,v1.1 chronological census,V11-ABMX-0085,Contest entry form / promotion,Alpine Action one-hundred-pound advertisement-design contest,1982,1982,October/November 1982,Alpine Action; BMX Action Bike,Reader contest to design a one-page Alpine Action advertisement for a cash prize.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,alpine action one hundred pound advertisement design contest october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 8. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-004,Contests and promotions
EPH-0147,v1.1 chronological census,V11-ABMX-0086,Catalog mailer / advertisement,Murray and Puch test-range mailer with free membership,1982,1982,October/November 1982,Murray; Puch,Dealer offer for a full model list and free membership with every bicycle purchased.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,murray and puch test range mailer with free membership october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 8. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0148,v1.1 chronological census,V11-ABMX-0087,Information-pack mailer,BMX Action Bike race-shirt mailer,1982,1982,October/November 1982,BMX Action Bike,Direct mail-order offer for the magazine's blue-and-yellow cotton race shirt.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,bmx action bike race shirt mailer october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 10. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0149,v1.1 chronological census,V11-ABMX-0088,Product-history object,E.T. film and Kuwahara bicycle feature,1982,1982,October/November 1982,E.T.; Kuwahara; Steven Spielberg,Editorial feature connecting the film's bicycle scenes to special Kuwahara models.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,e t film and kuwahara bicycle feature october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed pages 10–11. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-009,Editorial tests and historical documentation
EPH-0150,v1.1 chronological census,V11-ABMX-0089,Information-pack mailer,Pro-Lite information-pack and decal mailer,1982,1982,October/November 1982,Pro-Lite; Freewheeler Leisure Products,Factory-direct information-pack and decal offer for Pro-Lite protective equipment.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,pro lite information pack and decal mailer october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 11. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0151,v1.1 chronological census,V11-ABMX-0090,Contest entry form / promotion,ABMX Bonanza reader survey competition,1982,1982,October/November 1982,BMX Action Bike,"Large reader survey tied to more than fifty bicycle, frame, clothing, and component prizes.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,abmx bonanza reader survey competition october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed pages 12–13. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-004,Contests and promotions
EPH-0152,v1.1 chronological census,V11-ABMX-0091,Event prize promotion,AMF Scorcher 7 reader-survey prize,1982,1982,October/November 1982,AMF; BMX Action Bike,Top prize record for an AMF Scorcher 7 bicycle in the ABMX Bonanza.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,amf scorcher 7 reader survey prize october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 12. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-004,Contests and promotions
EPH-0153,v1.1 chronological census,V11-ABMX-0092,Event prize promotion,Reynolds 531 BMX frame-and-fork survey prize,1982,1982,October/November 1982,Reynolds; BMX Action Bike,Second-prize record for a custom Reynolds 531 BMX frame and fork set.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,reynolds 531 bmx frame and fork survey prize october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 12. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-004,Contests and promotions
EPH-0154,v1.1 chronological census,V11-ABMX-0093,Team/product advertisement,Team Mongoose factory-direct value advertisement,1982,1982,October/November 1982,Mongoose; Ammaco,Team-linked advertisement for a Mongoose race bicycle and factory-direct value positioning.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,team mongoose factory direct value advertisement october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 12. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-006,"Teams, riders, and brand campaigns"
EPH-0155,v1.1 chronological census,V11-ABMX-0094,Product literature,ABMX race nutrition and training article,1982,1982,October/November 1982,BMX Action Bike,"Instructional article on race-day nutrition, protein, carbohydrate, hydration, and preparation.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,abmx race nutrition and training article october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 15. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-001,Catalogs and product literature
EPH-0156,v1.1 chronological census,V11-ABMX-0095,Retailer advertisement / price list,BMX Invader and Action Bikes monthly specials,1982,1982,October/November 1982,BMX Invader; Action Bikes,Dealer advertisement with complete-bike and component specials plus custom-build and credit options.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,bmx invader and action bikes monthly specials october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 15. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-002,Advertisements and price lists
EPH-0157,v1.1 chronological census,V11-ABMX-0096,Product-history object,Huffy Pro Lightning preview,1982,1982,October/November 1982,Huffy,Early publication feature introducing the Huffy Pro Lightning.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,huffy pro lightning preview october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed pages 17–18. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-009,Editorial tests and historical documentation
EPH-0158,v1.1 chronological census,V11-ABMX-0097,Event notice / contact flyer,Stolen Kuwahara notice and subscription reward,1982,1982,October/November 1982,BMX Action Bike; Kuwahara,Lost-bike notice offering a free magazine subscription for useful recovery information.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,stolen kuwahara notice and subscription reward october november 1982,,RETAIN — issue-specific occurrence pending visual comparison,Indexed section located; exact page number remains pending page-image review. Indexed letters section. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-005,"Events, registration, and membership"
EPH-0159,v1.1 chronological census,V11-ABMX-0098,Information-pack mailer,Diamond Back Silver Streak information-pack placement,1982,1982,October/November 1982,Diamond Back; Pro-Star; Freewheeler,Issue-specific placement of the free Diamond Back and Pro-Star information pack and decal.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — October/November 1982 — Volume 2 Number 4. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging. Potential recurring-campaign relationship with EPH-0110 (Diamond Back Silver Streak information-pack campaign); do not merge without page-image comparison.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,,diamond back silver streak information pack placement october november 1982,,REVIEW — recurring campaign/feature candidate; retain separately pending page-image comparison,Indexed page 29. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-003,"Mailers, stickers, and information packs"
